lat,lon,alt,speed,yaw,pitch,roll,id,timestamp
38.28731725,21.788469788,92.4,3.092,2.401,0,0,test,1745413248823
38.287345031,21.788471272,92.4,2.703,0.015,0,0,test,1745413249823
38.28736934,21.78847128,92.4,2.963,2.506,0,0,test,1745413250823
38.287395965,21.788472765,92.4,2.587,5.727,0,0,test,1745413251823
38.287419117,21.788475723,92.4,3.614,4.102,0,0,test,1745413252823
38.287451533,21.788478685,92.4,4.122,1.806,0,0,test,1745413253823
38.287488581,21.788480173,92.4,4.249,0.016,0,0,test,1745413254823
38.287526789,21.788480187,92.4,6.314,2.353,0,0,test,1745413255823
38.287583526,21.788483158,92.4,1.807,355.93,0,0,test,1745413256823
38.287599737,21.788481688,92.4,1.961,336.814,0,0,test,1745413257823
38.287615949,21.788472842,92.4,3.515,278.427,0,0,test,1745413258823
38.287620581,21.788433008,92.4,2.962,270.0,0,0,test,1745413259823
38.287620581,21.788399075,92.4,3.09,270.0,0,0,test,1745413260823
38.28762058,21.788363667,92.4,3.477,270.0,0,0,test,1745413261823
38.28762058,21.788323833,92.4,4.378,270.0,0,0,test,1745413262823
38.28762058,21.788273673,92.4,4.0,266.308,0,0,test,1745413263823
38.287618264,21.788227938,92.4,3.26,279.09,0,0,test,1745413264823
38.287622895,21.788191057,92.4,4.764,270.0,0,0,test,1745413265823
38.287622895,21.788136472,92.4,3.991,270.0,0,0,test,1745413266823
38.287622895,21.78809074,92.4,4.893,270.0,0,0,test,1745413267823
38.287622895,21.788034681,92.4,3.605,270.0,0,0,test,1745413268823
38.287622894,21.787993375,92.4,3.221,272.29,0,0,test,1745413269823
38.287624052,21.787956495,92.4,3.991,270.0,0,0,test,1745413270823
38.287624052,21.787910764,92.4,3.221,267.709,0,0,test,1745413271823
38.287622894,21.787873885,92.4,4.764,270.0,0,0,test,1745413272823
38.287622893,21.787819305,92.4,4.12,270.0,0,0,test,1745413273823
38.287622893,21.7877721,92.4,3.999,273.691,0,0,test,1745413274823
38.287625209,21.787726371,92.4,3.607,267.954,0,0,test,1745413275823
38.28762405,21.787685069,92.4,3.347,270.0,0,0,test,1745413276823
38.28762405,21.787646717,92.4,2.192,273.366,0,0,test,1745413277823
38.287625208,21.78762164,92.4,3.09,270.0,0,0,test,1745413278823
38.287625208,21.787586239,92.4,1.416,359.987,0,0,test,1745413279823
38.287637944,21.787586235,92.4,1.999,14.918,0,0,test,1745413280823
38.287655313,21.78759213,92.4,3.605,359.987,0,0,test,1745413281823
38.287687736,21.787592121,92.4,3.605,359.987,0,0,test,1745413282823
38.287720161,21.787592112,92.4,1.566,9.448,0,0,test,1745413283823
38.287734058,21.787595058,92.4,2.076,352.863,0,0,test,1745413284823
38.287752587,21.787592102,92.4,3.994,358.139,0,0,test,1745413285823
38.287788489,21.787590616,92.4,1.187,12.509,0,0,test,1745413286823
38.287798913,21.787593563,92.4,2.321,86.817,0,0,test,1745413287823
38.287800072,21.787620117,92.4,2.321,86.817,0,0,test,1745413288823
38.287801231,21.787646671,92.4,2.193,93.365,0,0,test,1745413289823
38.287800074,21.787671751,92.4,3.222,92.289,0,0,test,1745413290823
38.287798917,21.787708633,92.4,2.318,89.998,0,0,test,1745413291823
38.287798917,21.787735189,92.4,2.704,89.998,0,0,test,1745413292823
38.287798918,21.78776617,92.4,3.093,87.611,0,0,test,1745413293823
38.287800078,21.787801577,92.4,3.479,87.876,0,0,test,1745413294823
38.287801237,21.787841411,92.4,1.936,86.183,0,0,test,1745413295823
38.287802396,21.787863541,92.4,3.358,94.397,0,0,test,1745413296823
38.287800081,21.787901901,92.4,4.123,88.208,0,0,test,1745413297823
38.28780124,21.787949113,92.4,2.833,89.998,0,0,test,1745413298823
38.287801241,21.787981571,92.4,3.093,92.384,0,0,test,1745413299823
38.287800084,21.788016981,92.4,1.932,89.998,0,0,test,1745413300823
38.287800084,21.788039112,92.4,1.936,86.183,0,0,test,1745413301823
38.287801243,21.788061243,92.4,2.318,89.998,0,0,test,1745413302823
38.287801244,21.788087801,92.4,2.579,92.861,0,0,test,1745413303823
38.287800086,21.78811731,92.4,2.064,86.421,0,0,test,1745413304823
38.287801245,21.788140917,92.4,2.579,92.861,0,0,test,1745413305823
38.287800088,21.788170426,92.4,2.707,92.725,0,0,test,1745413306823
38.28779893,21.788201411,92.4,2.707,87.271,0,0,test,1745413307823
38.28780009,21.788232396,92.4,2.704,89.998,0,0,test,1745413308823
38.28780009,21.788263381,92.4,2.704,89.998,0,0,test,1745413309823
38.287800091,21.788294367,92.4,2.06,89.998,0,0,test,1745413310823
38.287800092,21.788317975,92.4,2.589,84.287,0,0,test,1745413311823
38.287802409,21.788347486,92.4,2.579,92.861,0,0,test,1745413312823
38.287801252,21.788376996,92.4,1.545,89.998,0,0,test,1745413313823
38.287801252,21.788394703,92.4,2.189,89.998,0,0,test,1745413314823
38.287801253,21.788419787,92.4,1.808,94.084,0,0,test,1745413315823
38.287800095,21.788440445,92.4,1.803,89.998,0,0,test,1745413316823
38.287800096,21.788461103,92.4,1.222,161.583,0,0,test,1745413317823
38.287789671,21.788465525,92.4,1.222,161.583,0,0,test,1745413318823
